pickup,dropoff,passengers,distance,fare,tip,tolls,total,color,payment,pickup_zone,dropoff_zone,pickup_borough,dropoff_borough
2019-03-20 12:25:31,2019-03-20 12:45:02,1,4.71,17.5,0.0,0.0,18.3,yellow,credit card,Clinton West,East Harlem North,Manhattan,Manhattan
2019-03-06 08:09:03,2019-03-06 08:27:11,1,0.92,12.0,0.0,0.0,15.3,yellow,cash,UN/Turtle Bay South,Garment District,Manhattan,Manhattan
2019-03-10 15:14:20,2019-03-10 15:20:17,1,1.84,7.0,2.06,0.0,12.36,yellow,credit card,Lenox Hill West,East Harlem South,Manhattan,Manhattan
2019-03-01 02:55:55,2019-03-01 02:57:59,3,0.74,4.0,0.0,0.0,7.8,yellow,cash,Clinton East,West Chelsea/Hudson Yards,Manhattan,Manhattan
2019-03-17 19:24:50,2019-03-17 19:29:58,1,0.62,5.5,1.0,0.0,9.8,yellow,credit card,Midtown Center,Sutton Place/Turtle Bay North,Manhattan,Manhattan
2019-03-20 22:29:32,2019-03-20 22:32:24,2,0.65,4.5,2.49,0.0,10.79,yellow,credit card,Midtown South,Midtown Center,Manhattan,Manhattan
2019-03-21 10:48:02,2019-03-21 10:57:45,2,0.87,7.5,2.16,0.0,12.96,yellow,credit card,Midtown North,Clinton West,Manhattan,Manhattan
2019-03-01 17:39:58,2019-03-01 18:04:46,1,3.06,17.0,4.26,0.0,25.56,yellow,credit card,West Chelsea/Hudson Yards,Lenox Hill East,Manhattan,Manhattan
2019-03-22 17:28:51,2019-03-22 17:33:51,1,1.1,5.5,0.0,0.0,9.8,yellow,cash,Garment District,Flatiron,Manhattan,Manhattan
2019-03-21 18:41:58,2019-03-21 19:15:25,1,3.13,20.5,0.0,0.0,24.8,yellow,cash,Lenox Hill East,Garment District,Manhattan,Manhattan
2019-03-18 16:03:14,2019-03-18 16:10:36,2,1.13,6.5,2.16,0.0,12.96,yellow,credit card,Gramercy,Murray Hill,Manhattan,Manhattan
2019-03-25 22:50:56,2019-03-25 22:59:51,1,2.47,10.0,2.76,0.0,16.56,yellow,credit card,Garment District,Upper West Side South,Manhattan,Manhattan
2019-03-07 15:15:46,2019-03-07 15:50:14,1,7.51,27.0,6.06,0.0,36.36,yellow,credit card,Flatiron,Carroll Gardens,Manhattan,Brooklyn
2019-03-24 18:42:56,2019-03-24 19:09:00,0,4.5,20.0,0.0,0.0,23.3,yellow,cash,TriBeCa/Civic Center,Kips Bay,Manhattan,Manhattan
2019-03-27 19:39:16,2019-03-27 20:00:26,1,9.5,28.0,0.0,5.76,35.06,yellow,cash,LaGuardia Airport,Washington Heights South,Queens,Manhattan
2019-03-14 07:19:29,2019-03-14 07:45:51,1,9.37,29.5,1.0,0.0,33.8,yellow,credit card,East Harlem South,Battery Park City,Manhattan,Manhattan
2019-03-07 11:19:21,2019-03-07 11:39:09,1,0.8,12.5,3.15,0.0,18.95,yellow,credit card,Lincoln Square East,Midtown East,Manhattan,Manhattan
2019-03-20 11:40:59,2019-03-20 12:06:41,2,4.7,20.0,0.0,0.0,23.3,yellow,cash,Times Sq/Theatre District,Battery Park City,Manhattan,Manhattan
2019-03-13 06:17:45,2019-03-13 06:21:54,2,1.15,5.5,2.64,0.0,11.44,yellow,credit card,Upper East Side North,Lenox Hill West,Manhattan,Manhattan
2019-03-07 16:49:01,2019-03-07 16:57:07,1,1.3,7.0,0.0,0.0,11.3,yellow,cash,Lincoln Square East,Times Sq/Theatre District,Manhattan,Manhattan
2019-03-04 21:35:00,2019-03-04 21:53:42,1,4.87,17.5,0.0,0.0,21.3,yellow,cash,West Village,Upper West Side South,Manhattan,Manhattan
2019-03-16 16:36:34,2019-03-16 16:54:50,2,1.0,11.5,0.0,0.0,14.8,yellow,cash,Clinton East,Penn Station/Madison Sq West,Manhattan,Manhattan
2019-03-16 17:38:47,2019-03-16 17:56:04,4,1.89,12.0,0.0,0.0,15.3,yellow,cash,Midtown North,Union Sq,Manhattan,Manhattan
2019-03-21 21:30:05,2019-03-21 21:39:03,2,0.9,7.0,2.15,0.0,12.95,yellow,credit card,Greenwich Village South,Meatpacking/West Village West,Manhattan,Manhattan
2019-03-20 18:49:24,2019-03-20 19:12:40,1,13.45,36.0,0.0,0.0,37.8,yellow,cash,JFK Airport,Sunnyside,Queens,Queens
2019-03-24 01:13:51,2019-03-24 01:24:00,1,2.8,10.5,2.85,0.0,17.15,yellow,credit card,East Village,Sutton Place/Turtle Bay North,Manhattan,Manhattan
2019-03-14 12:11:52,2019-03-14 12:40:54,1,3.43,19.0,4.46,0.0,26.76,yellow,credit card,Union Sq,Lincoln Square West,Manhattan,Manhattan
2019-03-05 17:57:00,2019-03-05 18:45:25,2,19.59,52.0,0.0,5.76,65.56,yellow,credit card,JFK Airport,Upper East Side North,Queens,Manhattan
2019-03-17 13:55:43,2019-03-17 14:01:39,4,0.71,5.5,1.76,0.0,10.56,yellow,credit card,UN/Turtle Bay South,Midtown Center,Manhattan,Manhattan
2019-03-01 23:21:01,2019-03-01 23:46:28,1,4.5,18.5,4.46,0.0,26.76,yellow,credit card,Garment District,Financial District North,Manhattan,Manhattan
2019-03-09 19:24:01,2019-03-09 19:33:32,3,0.82,7.0,2.0,0.0,12.3,yellow,credit card,TriBeCa/Civic Center,Lower East Side,Manhattan,Manhattan
2019-03-01 22:49:54,2019-03-01 22:53:32,1,0.9,5.0,0.0,0.0,6.3,yellow,credit card,East Harlem South,East Harlem North,Manhattan,Manhattan
2019-03-13 10:55:10,2019-03-13 11:23:25,2,2.4,17.5,0.0,0.0,20.8,yellow,cash,Times Sq/Theatre District,Lenox Hill East,Manhattan,Manhattan
2019-03-21 23:33:55,2019-03-21 23:36:39,1,0.44,4.0,0.0,0.0,7.8,yellow,cash,Flatiron,East Chelsea,Manhattan,Manhattan
2019-03-28 21:59:44,2019-03-28 22:04:04,4,1.02,5.5,0.0,0.0,9.3,yellow,cash,Penn Station/Madison Sq West,Garment District,Manhattan,Manhattan
2019-03-26 10:14:55,2019-03-26 10:26:58,6,1.38,9.0,3.08,0.0,15.38,yellow,credit card,Midtown South,Midtown Center,Manhattan,Manhattan
2019-03-02 19:08:25,2019-03-02 19:31:42,1,2.42,15.5,3.76,0.0,22.56,yellow,credit card,Hudson Sq,Times Sq/Theatre District,Manhattan,Manhattan
2019-03-15 13:42:03,2019-03-15 13:49:00,1,0.66,6.0,2.79,0.0,12.09,yellow,credit card,Lenox Hill West,Lenox Hill West,Manhattan,Manhattan
2019-03-04 13:39:06,2019-03-04 13:58:52,1,3.3,15.5,0.0,0.0,18.8,yellow,cash,Garment District,Yorkville East,Manhattan,Manhattan
2019-03-22 02:22:01,2019-03-22 02:30:21,3,1.22,7.5,0.0,0.0,11.3,yellow,cash,Clinton East,Midtown North,Manhattan,Manhattan
2019-03-31 15:43:37,2019-03-31 15:53:39,1,0.55,7.5,1.5,0.0,12.3,yellow,credit card,Clinton East,Times Sq/Theatre District,Manhattan,Manhattan
2019-03-27 19:27:17,2019-03-27 19:48:47,1,3.51,16.5,1.0,0.0,21.8,yellow,credit card,Union Sq,Upper East Side North,Manhattan,Manhattan
2019-03-13 07:34:09,2019-03-13 07:38:18,1,1.07,5.5,1.76,0.0,10.56,yellow,credit card,East Chelsea,Garment District,Manhattan,Manhattan
2019-03-12 15:44:53,2019-03-12 16:02:05,1,1.98,11.5,2.96,0.0,17.76,yellow,credit card,Yorkville West,Upper West Side North,Manhattan,Manhattan
2019-03-29 08:48:46,2019-03-29 08:56:07,1,1.0,6.5,1.95,0.0,11.75,yellow,credit card,Murray Hill,Union Sq,Manhattan,Manhattan
2019-03-02 23:05:12,2019-03-02 23:17:34,1,1.85,10.0,0.0,0.0,13.8,yellow,cash,Clinton East,Lenox Hill West,Manhattan,Manhattan
2019-03-17 01:28:28,2019-03-17 02:04:54,1,7.95,30.0,0.0,0.0,33.8,yellow,cash,Flatiron,Jackson Heights,Manhattan,Queens
2019-03-09 13:42:08,2019-03-09 13:48:46,1,1.0,6.5,0.0,0.0,9.8,yellow,cash,Upper East Side North,Midtown East,Manhattan,Manhattan
2019-03-05 15:41:23,2019-03-05 15:46:30,1,0.6,5.0,1.65,0.0,9.95,yellow,credit card,Midtown Center,Midtown Center,Manhattan,Manhattan
2019-03-18 19:57:00,2019-03-18 20:06:22,2,1.57,8.5,1.8,0.0,14.6,yellow,credit card,Central Park,Midtown North,Manhattan,Manhattan
2019-03-17 22:47:36,2019-03-17 22:55:32,1,1.3,7.5,2.25,0.0,13.55,yellow,credit card,West Chelsea/Hudson Yards,Meatpacking/West Village West,Manhattan,Manhattan
2019-03-15 23:46:05,2019-03-15 23:59:52,1,1.47,9.5,0.0,0.0,13.3,yellow,cash,Midtown East,Penn Station/Madison Sq West,Manhattan,Manhattan
2019-03-16 18:57:19,2019-03-16 19:00:16,2,0.4,4.0,0.0,0.0,7.3,yellow,cash,Upper East Side North,Upper East Side North,Manhattan,Manhattan
2019-03-14 11:55:26,2019-03-14 12:08:32,6,1.84,10.0,2.66,0.0,15.96,yellow,credit card,East Harlem South,Upper East Side South,Manhattan,Manhattan
2019-03-16 21:03:35,2019-03-16 21:21:58,1,2.5,12.5,1.5,0.0,17.8,yellow,credit card,Meatpacking/West Village West,Chinatown,Manhattan,Manhattan
2019-03-09 19:54:40,2019-03-09 20:07:27,2,1.5,9.5,0.0,0.0,12.8,yellow,cash,Gramercy,Penn Station/Madison Sq West,Manhattan,Manhattan
2019-03-03 16:44:20,2019-03-03 16:48:36,1,1.02,5.0,2.08,0.0,10.38,yellow,credit card,Kips Bay,Stuy Town/Peter Cooper Village,Manhattan,Manhattan
2019-03-04 20:20:15,2019-03-04 20:24:14,1,0.6,5.0,0.0,0.0,6.3,yellow,cash,Morningside Heights,Morningside Heights,Manhattan,Manhattan
2019-03-28 22:57:05,2019-03-28 23:16:56,1,4.1,16.0,0.0,0.0,19.8,yellow,cash,Hudson Sq,Lincoln Square East,Manhattan,Manhattan
2019-03-16 05:08:02,2019-03-16 05:08:20,1,0.07,2.5,0.0,0.0,3.8,yellow,cash,Astoria,Astoria,Queens,Queens
2019-03-27 22:22:30,2019-03-27 22:41:40,1,5.99,20.0,5.95,0.0,29.75,yellow,credit card,Greenwich Village South,Yorkville West,Manhattan,Manhattan
2019-03-07 10:39:25,2019-03-07 11:05:01,5,2.55,16.5,0.0,0.0,19.8,yellow,cash,Midtown Center,Little Italy/NoLiTa,Manhattan,Manhattan
2019-03-11 08:46:09,2019-03-11 08:47:21,1,0.3,3.0,0.95,0.0,7.25,yellow,credit card,Upper East Side North,Upper East Side North,Manhattan,Manhattan
2019-03-28 07:05:19,2019-03-28 07:41:14,0,10.6,33.5,0.0,5.76,40.06,yellow,credit card,East Tremont,Midtown East,Bronx,Manhattan
2019-03-12 12:02:26,2019-03-12 12:17:00,3,0.66,9.5,1.2,0.0,14.0,yellow,credit card,Sutton Place/Turtle Bay North,Midtown Center,Manhattan,Manhattan
2019-03-06 20:00:28,2019-03-06 20:11:50,3,2.6,11.0,4.4,0.0,19.2,yellow,credit card,Upper East Side South,Upper West Side North,Manhattan,Manhattan
2019-03-28 21:30:43,2019-03-28 21:42:10,1,1.6,9.0,2.55,0.0,15.35,yellow,credit card,Penn Station/Madison Sq West,Stuy Town/Peter Cooper Village,Manhattan,Manhattan
2019-03-13 16:11:26,2019-03-13 16:28:42,1,3.21,13.5,0.0,0.0,17.8,yellow,cash,Financial District South,Downtown Brooklyn/MetroTech,Manhattan,Brooklyn
2019-03-04 22:34:00,2019-03-04 22:41:34,1,1.3,7.5,0.5,0.0,11.8,yellow,credit card,Midtown Center,Upper East Side South,Manhattan,Manhattan
2019-03-08 19:10:16,2019-03-08 19:18:32,2,0.9,7.0,0.0,0.0,11.3,yellow,cash,Midtown North,Times Sq/Theatre District,Manhattan,Manhattan
2019-03-10 14:41:28,2019-03-10 14:56:30,1,2.59,12.5,0.0,0.0,13.3,green,cash,East Harlem North,Manhattan Valley,Manhattan,Manhattan
2019-03-28 19:49:53,2019-03-28 20:12:08,1,7.44,24.5,5.26,0.0,31.56,green,credit card,East Harlem South,Inwood,Manhattan,Manhattan
2019-03-23 14:26:40,2019-03-23 15:00:33,1,14.03,38.61,0.0,5.76,44.87,green,credit card,Crotona Park East,Jamaica Estates,Bronx,Queens
2019-03-03 02:36:35,2019-03-03 02:56:38,1,3.8,16.0,0.0,0.0,20.05,green,cash,Williamsburg (North Side),Greenwich Village South,Brooklyn,Manhattan
2019-03-19 14:59:01,2019-03-19 15:37:09,1,8.59,31.0,0.0,0.0,34.55,green,cash,Sunnyside,Financial District North,Queens,Manhattan
2019-03-28 19:19:18,2019-03-28 19:25:24,1,1.03,6.0,1.17,0.0,8.97,green,credit card,Astoria,Astoria,Queens,Queens
2019-03-19 07:33:00,2019-03-19 07:42:00,1,0.75,7.0,0.0,0.0,7.8,green,cash,Central Harlem North,Central Harlem,Manhattan,Manhattan
2019-03-23 16:07:26,2019-03-23 16:45:12,1,12.05,36.5,0.0,0.0,40.05,green,cash,Astoria,TriBeCa/Civic Center,Queens,Manhattan
2019-03-13 07:33:28,2019-03-13 07:46:43,1,1.67,9.5,0.0,0.0,10.3,green,credit card,Central Harlem North,East Harlem North,Manhattan,Manhattan
2019-03-03 12:32:19,2019-03-03 13:09:09,1,19.01,48.89,0.0,5.76,55.15,green,credit card,Bronxdale,Crown Heights North,Bronx,Brooklyn
2019-03-31 10:56:46,2019-03-31 11:04:08,4,1.37,7.5,1.0,0.0,12.05,green,credit card,Morningside Heights,Upper West Side North,Manhattan,Manhattan
2019-03-28 15:55:12,2019-03-28 16:46:59,1,4.88,31.5,0.0,0.0,32.3,green,credit card,Fort Greene,Brownsville,Brooklyn,Brooklyn
2019-03-20 09:33:25,2019-03-20 09:56:05,2,3.2,16.0,3.9,0.0,23.45,green,credit card,Long Island City/Hunters Point,Lenox Hill West,Queens,Manhattan
2019-03-26 14:14:17,2019-03-26 14:24:09,1,1.59,8.5,0.0,0.0,9.3,green,cash,Central Harlem,Central Harlem North,Manhattan,Manhattan
2019-03-13 13:01:31,2019-03-13 13:37:45,1,5.53,25.5,0.0,0.0,29.05,green,cash,Jackson Heights,Murray Hill,Queens,Manhattan
2019-03-23 19:32:04,2019-03-23 19:44:19,1,5.13,17.0,0.0,0.0,20.55,green,cash,Manhattanville,Clinton East,Manhattan,Manhattan
2019-03-26 11:04:06,2019-03-26 11:09:23,1,0.64,5.5,1.26,0.0,7.56,green,credit card,Morningside Heights,Manhattanville,Manhattan,Manhattan
2019-03-29 08:24:29,2019-03-29 08:45:06,1,3.9,18.0,0.0,0.0,18.8,green,cash,Washington Heights North,East Harlem North,Manhattan,Manhattan
2019-03-05 12:34:44,2019-03-05 12:55:10,1,3.92,16.0,0.0,0.0,16.8,green,credit card,Bay Ridge,Borough Park,Brooklyn,Brooklyn
2019-03-16 22:13:35,2019-03-16 22:19:40,1,1.14,6.5,2.34,0.0,10.14,green,credit card,Central Harlem,Central Harlem North,Manhattan,Manhattan
2019-03-22 12:17:21,2019-03-22 12:29:00,1,1.54,9.5,0.0,0.0,10.3,green,credit card,East Harlem South,Central Harlem,Manhattan,Manhattan
2019-03-15 14:13:19,2019-03-15 14:25:08,1,1.26,9.0,0.0,0.0,12.55,green,cash,Central Park,Yorkville West,Manhattan,Manhattan
2019-03-08 09:34:59,2019-03-08 10:28:51,1,13.3,45.5,0.0,0.0,46.3,green,credit card,East Tremont,Flatiron,Bronx,Manhattan
2019-03-14 07:24:37,2019-03-14 07:26:22,2,0.27,3.5,0.0,0.0,4.3,green,credit card,Windsor Terrace,Sunset Park West,Brooklyn,Brooklyn
2019-03-15 18:44:02,2019-03-15 18:47:38,1,0.3,4.5,0.0,0.0,6.3,green,cash,East Harlem North,East Harlem North,Manhattan,Manhattan
2019-03-05 09:10:02,2019-03-05 09:14:41,1,0.84,5.0,2.0,0.0,7.8,green,credit card,Brooklyn Heights,Cobble Hill,Brooklyn,Brooklyn
2019-03-27 10:18:24,2019-03-27 10:27:09,1,1.28,7.5,3.0,0.0,11.3,green,credit card,Downtown Brooklyn/MetroTech,Columbia Street,Brooklyn,Brooklyn
2019-03-15 21:54:51,2019-03-15 22:07:18,1,1.66,9.5,1.94,0.0,14.69,green,credit card,Gowanus,Columbia Street,Brooklyn,Brooklyn
2019-03-12 09:13:25,2019-03-12 09:42:13,1,8.39,26.58,0.0,0.0,27.08,green,credit card,Briarwood/Jamaica Hills,Sunnyside,Queens,Queens
2019-03-30 02:53:34,2019-03-30 02:59:37,2,1.11,6.0,1.08,0.0,8.38,green,credit card,Williamsburg (South Side),Williamsburg (North Side),Brooklyn,Brooklyn
2019-03-11 10:29:53,2019-03-11 10:32:27,2,0.68,4.0,0.0,0.0,4.8,green,cash,Astoria,Steinway,Queens,Queens
2019-03-29 16:19:17,2019-03-29 16:33:01,1,2.27,10.5,0.0,0.0,12.3,green,cash,Long Island City/Queens Plaza,Jackson Heights,Queens,Queens
2019-03-22 14:19:23,2019-03-22 14:28:45,2,1.37,8.0,1.32,0.0,10.12,green,credit card,East Harlem South,East Harlem North,Manhattan,Manhattan
2019-03-16 11:02:57,2019-03-16 11:12:43,1,2.56,9.5,0.0,0.0,10.3,green,cash,East Harlem South,Mott Haven/Port Morris,Manhattan,Bronx
2019-03-05 06:59:28,2019-03-05 07:54:37,2,7.5,36.0,0.0,0.0,36.8,green,credit card,Canarsie,South Williamsburg,Brooklyn,Brooklyn
2019-03-31 17:40:14,2019-03-31 17:50:10,1,2.58,10.0,0.0,0.0,10.8,green,credit card,Midwood,Manhattan Beach,Brooklyn,Brooklyn
2019-03-19 21:55:44,2019-03-19 22:08:13,1,2.49,11.0,0.0,0.0,15.05,green,cash,Queensbridge/Ravenswood,Midtown North,Queens,Manhattan
2019-03-15 17:49:52,2019-03-15 17:57:45,1,1.01,7.0,0.0,0.0,8.8,green,cash,Central Harlem,Morningside Heights,Manhattan,Manhattan
2019-03-20 02:58:09,2019-03-20 03:10:53,1,3.6,13.5,0.0,0.0,14.8,green,cash,East Harlem North,Hunts Point,Manhattan,Bronx
2019-03-31 16:11:56,2019-03-31 17:05:18,1,13.44,46.5,5.0,0.0,55.05,green,credit card,Cobble Hill,Washington Heights South,Brooklyn,Manhattan
2019-03-30 21:48:25,2019-03-30 22:11:29,1,4.2,17.0,3.65,0.0,21.95,green,credit card,Fort Greene,Brownsville,Brooklyn,Brooklyn
2019-03-22 17:41:22,2019-03-22 17:50:41,1,3.24,11.5,3.0,0.0,16.3,green,credit card,Elmhurst,LaGuardia Airport,Queens,Queens
2019-03-11 20:01:35,2019-03-11 20:12:31,1,1.69,9.0,0.0,0.0,10.3,green,credit card,Prospect-Lefferts Gardens,Flatbush/Ditmas Park,Brooklyn,Brooklyn
2019-03-08 19:39:33,2019-03-08 19:57:04,1,2.33,13.0,2.96,0.0,17.76,green,credit card,Elmhurst,East Elmhurst,Queens,Queens
2019-03-07 17:54:31,2019-03-07 18:00:30,1,1.06,6.5,1.66,0.0,9.96,green,credit card,Morningside Heights,Manhattan Valley,Manhattan,Manhattan
2019-03-12 06:58:47,2019-03-12 07:16:59,1,3.2,15.0,0.0,0.0,15.8,green,cash,Downtown Brooklyn/MetroTech,Flatbush/Ditmas Park,Brooklyn,Brooklyn
2019-03-14 01:43:39,2019-03-14 01:49:58,3,1.2,6.0,0.0,0.0,7.3,green,cash,Elmhurst,Elmhurst,Queens,Queens
2019-03-19 21:09:25,2019-03-19 21:19:35,1,2.1,9.5,0.0,0.0,10.8,green,cash,Fort Greene,Park Slope,Brooklyn,Brooklyn
2019-03-11 17:40:24,2019-03-11 17:55:48,1,2.0,11.5,0.0,0.0,13.3,green,credit card,Sheepshead Bay,Gravesend,Brooklyn,Brooklyn
2019-03-06 10:29:44,2019-03-06 10:31:14,1,0.19,3.0,0.0,0.0,3.8,green,cash,Washington Heights North,Washington Heights North,Manhattan,Manhattan
2019-03-18 07:12:17,2019-03-18 08:03:24,1,9.3,36.5,0.0,11.52,48.82,green,credit card,Stuyvesant Heights,Midtown Center,Brooklyn,Manhattan
2019-03-31 14:18:05,2019-03-31 14:29:38,1,0.65,8.0,0.0,0.0,8.8,green,cash,Rego Park,Elmhurst,Queens,Queens
2019-03-19 10:04:42,2019-03-19 10:22:39,1,1.27,10.5,0.0,0.0,14.05,green,cash,East Harlem South,Yorkville West,Manhattan,Manhattan
2019-03-08 12:54:12,2019-03-08 13:02:13,1,1.47,7.5,0.0,0.0,8.3,green,cash,East Harlem North,Central Park,Manhattan,Manhattan
2019-03-24 01:33:58,2019-03-24 01:37:05,1,0.8,4.5,1.5,0.0,7.3,green,credit card,Kew Gardens,Kew Gardens Hills,Queens,Queens
2019-03-14 08:59:20,2019-03-14 09:29:29,1,4.31,16.13,0.0,0.0,16.63,green,credit card,East Concourse/Concourse Village,Van Nest/Morris Park,Bronx,Bronx
2019-03-20 16:29:09,2019-03-20 16:38:31,1,1.12,7.5,0.0,0.0,9.3,green,credit card,Parkchester,Soundview/Bruckner,Bronx,Bronx
2019-03-09 12:27:51,2019-03-09 13:11:18,1,11.4,39.0,0.0,11.52,51.32,green,credit card,Windsor Terrace,Clinton East,Brooklyn,Manhattan
2019-03-28 10:05:08,2019-03-28 10:24:30,1,4.32,16.5,0.0,0.0,17.3,green,credit card,Central Harlem North,East Harlem South,Manhattan,Manhattan
2019-03-14 13:43:37,2019-03-14 14:06:20,1,3.05,16.0,0.0,0.0,16.8,green,cash,Brooklyn Heights,Bedford,Brooklyn,Brooklyn
2019-03-08 16:39:29,2019-03-08 16:58:24,1,0.93,9.5,2.0,0.0,13.3,green,credit card,Fordham South,Kingsbridge Heights,Bronx,Bronx
2019-03-10 12:47:06,2019-03-10 12:48:56,1,0.74,4.0,1.2,0.0,6.0,green,credit card,East Harlem North,East Harlem South,Manhattan,Manhattan
2019-03-17 12:46:39,2019-03-17 12:49:19,1,0.6,4.0,0.48,0.0,5.28,green,credit card,Morningside Heights,Morningside Heights,Manhattan,Manhattan
2019-03-01 00:30:59,2019-03-01 00:37:39,2,1.35,7.0,0.0,0.0,8.3,green,cash,Astoria,Queensbridge/Ravenswood,Queens,Queens
2019-03-12 11:08:10,2019-03-12 11:12:42,1,0.8,5.0,0.25,0.0,6.05,green,credit card,Elmhurst/Maspeth,Elmhurst,Queens,Queens
2019-03-30 11:05:27,2019-03-30 11:19:06,1,6.64,21.0,3.0,0.0,24.8,green,credit card,Woodside,Flushing,Queens,Queens
2019-03-24 12:17:16,2019-03-24 12:28:59,1,2.28,10.0,2.16,0.0,12.96,green,credit card,Woodside,Old Astoria,Queens,Queens
2019-03-01 19:30:40,2019-03-01 19:46:03,1,1.55,11.0,0.0,0.0,12.8,green,cash,Astoria,Woodside,Queens,Queens
2019-03-06 18:23:11,2019-03-06 18:29:59,1,0.89,6.0,2.34,0.0,10.14,green,credit card,Downtown Brooklyn/MetroTech,Columbia Street,Brooklyn,Brooklyn
2019-03-03 12:11:26,2019-03-03 12:38:26,1,5.1,21.0,4.9,0.0,29.45,green,credit card,Central Harlem North,Midtown East,Manhattan,Manhattan
